Team, Position, a, b, c, d, e, f, g, h
Arsenal Away,1,19,12,3,4,35,18,17,39
Manchester City Away,2,19,11,4,4,34,16,18,37
Newcastle Utd Away,3,19,8,8,3,32,19,13,32
Brighton Away,4,19,8,4,7,35,32,3,28
Manchester Utd Away,5,19,8,3,8,22,33,-11,27
Fulham Away,6,19,7,2,10,24,24,0,23
Liverpool Away,7,19,6,5,8,29,30,-1,23
Tottenham Away,8,19,6,5,8,33,38,-5,23
Aston Villa Away,9,19,6,5,8,18,25,-7,23
Brentford Away,10,19,5,7,7,23,28,-5,22
Chelsea Away,11,19,5,4,10,18,28,-10,19
Crystal Palace Away,12,19,4,5,10,19,26,-7,17
Bournemouth Away,13,19,5,2,12,17,43,-26,17
Everton Away,14,19,2,9,8,18,30,-12,15
Leicester City Away,15,19,4,3,12,28,41,-13,15
Southampton Away,16,19,4,2,13,17,36,-19,14
West Ham Away,17,19,3,3,13,16,31,-15,12
Wolves Away,18,19,2,5,12,12,38,-26,11
Leeds United Away,19,19,2,3,14,22,41,-19,9
Nott'ham Forest Away,20,19,1,5,13,11,44,-33,8
