Team, Position, a, b, c, d, e, f, g, h
Manchester City Home,1,19,17,1,1,60,17,43,52
Manchester Utd Home,2,19,15,3,1,36,10,26,48
Arsenal Home,3,19,14,3,2,53,25,28,45
Liverpool Home,4,19,13,5,1,46,17,29,44
Newcastle Utd Home,5,19,11,6,2,36,14,22,39
Aston Villa Home,6,19,12,2,5,33,21,12,38
Brentford Home,7,19,10,7,2,35,18,17,37
Tottenham Home,8,19,12,1,6,37,25,12,37
Brighton Home,9,19,10,4,5,37,21,16,34
Nott'ham Forest Home,10,19,8,6,5,27,24,3,30
Wolves Home,11,19,9,3,7,19,20,-1,30
Fulham Home,12,19,8,5,6,31,29,2,29
West Ham Home,13,19,8,4,7,26,24,2,28
Crystal Palace Home,14,19,7,7,5,21,23,-2,28
Chelsea Home,15,19,6,7,6,20,19,1,25
Bournemouth Home,16,19,6,4,9,20,28,-8,22
Leeds United Home,17,19,5,7,7,26,37,-11,22
Everton Home,18,19,6,3,10,16,27,-11,21
Leicester City Home,19,19,5,4,10,23,27,-4,19
Southampton Home,20,19,2,5,12,19,37,-18,11
