,,,,,,,,SCA Types,,,,,,,GCA Types,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,
Day,Round,Venue,Result,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Sat,Matchweek 2,Home,W 2�1,West Ham,Y,LM,88,3,3,0,0,0,0,0,2,2,0,0,0,0,0,34,46,73.9,546,108,16,21,76.2,15,17,88.2,2,4,50,0,0.1,0.3,1,0,4,1,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Sun,Matchweek 4,Home,W 2�1,Sheffield Utd,Y,LM,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,82.9,402,78,18,21,85.7,7,8,87.5,2,4,50,0,0,0,0,2,0,0,3,2,1,0,2,0,0,1,0,1,1,0,1,0,2,1,0
Sat,Matchweek 5,Away,L 0�1,Manchester City,Y,LM,90,7,3,0,2,1,1,0,0,0,0,0,0,0,0,32,41,78,400,91,24,26,92.3,6,11,54.5,1,2,50,0,0,0,1,1,1,1,2,2,2,0,2,0,1,4,25,3,1,0,1,0,2,1,0
Sun,Matchweek 6,Home,L 0�1,Leicester City,Y,LW,64,3,2,1,0,0,0,0,0,0,0,0,0,0,0,20,31,64.5,244,43,12,15,80,5,9,55.6,1,2,50,0,0.1,0,1,0,1,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Sun,Matchweek 7,Away,W 1�0,Manchester Utd,Y,LM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,41,73.2,367,89,22,24,91.7,3,5,60,3,7,42.9,0,0,0,0,4,0,0,4,1,0,1,0,0,0,0,,0,0,0,0,4,5,1,0
Sun,Matchweek 8,Home,L 0�3,Aston Villa,Y,LM,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,26,36,72.2,324,64,20,22,90.9,5,12,41.7,0,1,0,0,0,0,0,5,0,0,6,1,0,0,1,0,1,1,100,0,2,2,0,0,1,0,0
Sun,Matchweek 9,Away,D 0�0,Leeds United,N,LW,33,3,2,0,1,0,0,0,0,0,0,0,0,0,0,8,12,66.7,134,57,4,5,80,3,5,60,1,1,100,0,0.1,0.1,2,2,0,0,3,1,0,1,0,0,0,0,,0,0,0,0,1,2,1,0
Sun,Matchweek 10,Home,L 1�2,Wolves,Y,"LW,LM",90,3,2,0,0,0,1,0,0,0,0,0,0,0,0,29,45,64.4,416,79,17,23,73.9,11,14,78.6,1,5,20,0,0.3,0.6,3,4,1,0,6,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0
Sun,Matchweek 11,Away,L 0�2,Tottenham,Y,"LW,RB",90,2,0,2,0,0,0,0,0,0,0,0,0,0,0,32,45,71.1,453,93,14,16,87.5,16,20,80,1,2,50,0,0.1,0.3,1,1,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Sun,Matchweek 12,Home,L 0�1,Burnley,Y,"LW,LM,RM",90,6,4,0,0,2,0,0,0,0,0,0,0,0,0,25,38,65.8,390,107,13,16,81.3,11,14,78.6,1,5,20,0,0.1,0.1,1,2,2,0,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wed,Matchweek 13,Home,D 1�1,Southampton,Y,LM,90,6,5,1,0,0,0,0,1,1,0,0,0,0,0,20,32,62.5,346,160,11,14,78.6,7,11,63.6,2,5,40,0,0,0.1,1,2,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Sat,Matchweek 14,Away,L 1�2,Everton,Y,LM,90,3,3,0,0,0,0,0,0,0,0,0,0,0,0,30,36,83.3,430,115,20,23,87,7,9,77.8,2,2,100,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Sat,Matchweek 15,Home,W 3�1,Chelsea,Y,"RW,RM",90,6,4,0,0,1,1,0,1,0,0,0,0,1,0,21,32,65.6,368,105,9,12,75,11,13,84.6,1,5,20,0,0,0.1,0,2,1,1,4,1,0,1,0,0,1,2,50,1,2,0,2,1,2,0,0
Tue,Matchweek 16,Away,W 1�0,Brighton,Y,RW,80,5,2,1,1,0,1,0,1,1,0,0,0,0,0,25,36,69.4,367,97,18,20,90,5,6,83.3,1,6,16.7,1,0.6,0.4,3,1,2,1,3,2,2,0,2,0,0,2,0,2,1,0,1,0,2,1,0
Sat,Matchweek 17,Away,W 4�0,West Brom,Y,RW,70,2,1,1,0,0,0,0,0,0,0,0,0,0,0,21,34,61.8,259,74,14,15,93.3,4,10,40,1,5,20,0,0.1,0.1,1,1,0,0,3,1,1,0,0,1,1,3,33.3,2,2,0,2,1,2,2,0
Thu,Matchweek 18,Home,D 0�0,Crystal Palace,Y,"RW,LB",90,3,0,2,0,1,0,0,0,0,0,0,0,0,0,36,48,75,493,158,20,21,95.2,9,12,75,3,9,33.3,0,0.1,0.2,2,1,1,1,1,1,1,1,0,0,1,4,25,3,3,0,3,1,2,1,0
Mon,Matchweek 19,Home,W 3�0,Newcastle Utd,Y,RW,90,10,6,1,0,2,1,0,1,1,0,0,0,0,0,36,43,83.7,575,171,19,21,90.5,13,14,92.9,3,6,50,0,0.4,0.3,3,3,1,0,5,0,0,0,0,0,0,1,0,1,2,0,2,3,3,0,0
Tue,Matchweek 20,Away,W 3�1,Southampton,Y,RW,90,3,1,1,1,0,0,0,2,1,0,1,0,0,0,16,26,61.5,291,60,10,13,76.9,3,7,42.9,3,6,50,1,0.9,0.6,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0
,,,,Leicester City,N,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Newcastle Utd,N,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue,Matchweek 22,Away,L 1�2,Wolves,Y,RW,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,67.7,192,30,12,14,85.7,4,8,50,0,3,0,0,0,0,0,2,0,0,1,2,1,2,0,0,2,4,50,2,1,0,1,2,4,1,0
Sat,Matchweek 23,Away,L 0�1,Aston Villa,Y,"RW,LB",90,6,4,0,0,0,2,0,0,0,0,0,0,0,0,56,72,77.8,765,224,38,44,86.4,10,13,76.9,4,8,50,0,0.2,0.3,3,3,6,3,5,2,2,1,0,1,2,3,66.7,1,0,0,0,2,4,0,0
Sun,Matchweek 24,Home,W 4�2,Leeds United,Y,RW,90,4,2,0,1,0,1,0,1,0,0,0,0,1,0,24,31,77.4,286,63,18,22,81.8,3,4,75,1,1,100,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
Sun,Matchweek 25,Home,L 0�1,Manchester City,Y,"LW,RW",90,2,1,0,1,0,0,0,0,0,0,0,0,0,0,29,36,80.6,472,117,14,17,82.4,14,15,93.3,1,3,33.3,0,0,0,0,3,2,0,6,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
Sat,Matchweek 27,Away,D 1�1,Burnley,Y,"RW,LW",90,6,4,0,0,2,0,0,0,0,0,0,0,0,0,31,36,86.1,392,97,21,23,91.3,9,10,90,0,0,,0,0.3,0.2,1,1,2,0,5,2,1,0,2,0,1,1,100,0,1,0,1,2,4,0,0
Sun,Matchweek 28,Home,W 2�1,Tottenham,Y,RW,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,17,76.5,117,13,7,9,77.8,2,2,100,0,1,0,0,0.2,0.3,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Sun,Matchweek 29,Away,D 3�3,West Ham,Y,"RW,LW",73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,32,84.4,280,62,19,20,95,6,8,75,0,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
,,,,Manchester United,N,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun,Matchweek 31,Away,W 3�0,Sheffield Utd,Y,AM,68,4,4,0,0,0,0,0,1,1,0,0,0,0,0,30,36,83.3,359,119,16,18,88.9,9,11,81.8,1,1,100,0,0.1,0.1,2,5,1,0,4,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Sun,Matchweek 32,Home,D 1�1,Fulham,Y,"RW,RB",90,6,4,1,1,0,0,0,0,0,0,0,0,0,0,43,55,78.2,531,128,27,31,87.1,7,9,77.8,2,4,50,0,0.2,0.2,2,2,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
Fri,Matchweek 33,Home,L 0�1,Everton,Y,"RW,RB,LW",90,5,4,1,0,0,0,0,0,0,0,0,0,0,0,36,49,73.5,519,29,24,27,88.9,11,15,73.3,1,4,25,0,0.1,0.1,2,0,0,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
Sun,Matchweek 35,Home,W 3�1,West Brom,Y,"LB,LW",90,2,2,0,0,0,0,0,1,1,0,0,0,0,0,36,50,72,473,99,20,22,90.9,14,20,70,0,5,0,1,0.4,0.2,2,2,1,1,5,1,1,1,0,0,0,1,0,1,0,0,0,2,3,1,0
Wed,Matchweek 36,Away,W 1�0,Chelsea,Y,WB,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,66.7,161,29,9,11,81.8,3,4,75,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,33.3,2,2,0,2,1,2,2,0
Wed,Matchweek 37,Away,W 3�1,Crystal Palace,Y,LW,64,2,2,0,0,0,0,0,1,1,0,0,0,0,0,24,34,70.6,335,85,15,16,93.8,8,9,88.9,1,7,14.3,0,0,0.1,1,3,1,0,2,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0
Sun,Matchweek 38,Home,W 2�0,Brighton,N,LW,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,85.7,65,11,4,4,100,1,1,100,0,0,,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
