Match,Day,Venue,Result,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Fri,Away,L 0-2,Brentford,N,LW,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,22,72.7,181,56,13,15,86.7,3,3,100,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
2,Sun,Home,L 0-2,Chelsea,Y,LW,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,30,76.7,235,38,16,18,88.9,3,5,60,1,2,50,0,0,0,1,1,1,0,3,2,2,0,1,1,0,0,,0,0,0,0,0,2,0,0
3,Sat,Away,L 0-5,Manchester City,Y,RM,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,71.4,73,23,3,4,75,2,3,66.7,0,0,,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
4,Sat,Home,W 1-0,Norwich City,Y,LW,90,8,6,1,0,1,0,0,0,0,0,0,0,0,0,27,33,81.8,389,92,15,18,83.3,11,13,84.6,1,2,50,0,0.5,0.1,4,2,2,0,8,2,0,0,0,2,2,3,66.7,1,0,0,0,0,2,0,0
5,Sat,Away,W 1-0,Burnley,Y,LM,90,3,1,0,0,1,1,0,1,0,0,0,0,1,0,27,34,79.4,336,61,20,22,90.9,5,8,62.5,1,2,50,0,0,0.1,0,3,0,0,5,2,1,1,1,0,0,0,,0,1,0,1,2,4,1,0
6,Sun,Home,W 3-1,Tottenham,Y,RW,86,4,3,0,0,1,0,0,1,1,0,0,0,0,0,30,37,81.1,376,59,20,22,90.9,8,9,88.9,0,0,,1,0.2,0.4,3,1,1,0,4,3,3,2,1,0,1,3,33.3,2,0,0,0,1,4,1,0
7,Sat,Away,D 0-0,Brighton,Y,RW,89,4,3,0,1,0,0,0,0,0,0,0,0,0,0,32,41,78,452,89,19,22,86.4,11,12,91.7,0,1,0,0,0.1,0.1,1,0,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
8,Mon,Home,D 2-2,Crystal Palace,Y,LM,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,16,75,157,32,7,8,87.5,4,6,66.7,0,0,,0,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
9,Fri,Home,W 3-1,Aston Villa,Y,RW,90,6,3,1,0,0,2,0,0,0,0,0,0,0,0,26,41,63.4,514,136,12,14,85.7,9,16,56.3,5,8,62.5,0,0.3,0.3,3,3,0,0,3,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
10,Sat,Away,W 2-0,Leicester City,Y,RM,84,4,3,1,0,0,0,0,1,1,0,0,0,0,0,21,32,65.6,409,85,11,15,73.3,7,9,77.8,3,6,50,1,0.2,0.1,3,1,1,1,2,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0
11,Sun,Home,W 1-0,Watford,Y,RM,89,6,2,3,0,0,1,0,0,0,0,0,0,0,0,26,36,72.2,489,114,9,11,81.8,14,20,70,3,4,75,0,0.2,0.3,2,2,2,0,4,2,0,1,1,0,1,1,100,0,1,0,1,0,2,0,0
12,Sat,Away,L 0-4,Liverpool,Y,RM,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,27,81.5,311,55,14,16,87.5,6,6,100,1,2,50,0,0,0.1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
13,Sat,Home,W 2-0,Newcastle Utd,Y,RM,63,4,3,0,1,0,0,0,0,0,0,0,0,0,0,27,38,71.1,323,71,22,22,100,5,7,71.4,0,3,0,0,0.4,0.2,2,1,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,Thu,Away,L 2-3,Manchester Utd,N,LM,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,80,164,35,9,10,90,2,3,66.7,1,2,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
15,Mon,Away,L 1-2,Everton,Y,RW,90,5,3,0,1,0,1,0,0,0,0,0,0,0,0,32,34,94.1,444,79,19,19,100,12,13,92.3,0,0,,0,0.3,0.3,1,0,1,0,2,4,0,0,3,1,1,3,33.3,2,0,0,0,0,4,0,0
16,Sat,Home,W 3-0,Southampton,Y,RM,90,5,4,1,0,0,0,0,1,1,0,0,0,0,0,23,34,67.6,374,64,11,13,84.6,11,14,78.6,1,3,33.3,1,0.5,0.3,3,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
17,Wed,Home,W 2-0,West Ham,Y,RM,90,8,7,0,0,1,0,0,1,1,0,0,0,0,0,35,47,74.5,620,94,18,24,75,11,12,91.7,5,8,62.5,1,0.5,0.2,4,2,1,1,2,2,1,0,1,1,0,2,0,2,1,0,1,0,2,2,0

18,Sat,Away,W 4-1,Leeds United,Y,RW,77,6,6,0,0,0,0,0,1,1,0,0,0,0,0,16,25,64,193,44,11,16,68.8,5,5,100,0,1,0,0,0.1,0.1,1,1,2,0,2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
19,Sun,Away,W 5-0,Norwich City,Y,RW,77,3,2,1,0,0,0,0,0,0,0,0,0,0,0,29,39,74.4,418,98,19,21,90.5,7,11,63.6,2,5,40,0,0.4,0.4,2,0,0,0,2,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
20,Sat,Home,L 1-2,Manchester City,Y,RW,83,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,24,54.2,177,23,6,10,60,4,4,100,1,6,16.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
21,Sun,Home,D 0-0,Burnley,Y,RM,90,7,4,1,1,0,1,0,0,0,0,0,0,0,0,32,39,82.1,526,146,16,19,84.2,14,15,93.3,2,3,66.7,0,0.1,0.3,1,2,3,0,5,1,1,0,1,0,0,2,0,2,1,0,1,0,1,2,0
22,Thu,Away,W 1-0,Wolves,Y,RW,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,22,77.3,199,35,13,16,81.3,4,4,100,0,0,,0,0.3,0.2,2,1,0,0,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
23,Sat,Home,W 2-1,Brentford,Y,RW,90,5,4,1,0,0,0,0,1,1,0,0,0,0,0,37,49,75.5,597,137,23,29,79.3,10,13,76.9,4,6,66.7,0,0.1,0.1,1,1,2,1,3,2,1,0,2,0,0,1,0,1,0,0,0,0,2,0,0
24,Thu,Home,W 2-1,Wolves,Y,RW,90,7,5,1,0,1,0,0,0,0,0,0,0,0,0,19,30,63.3,239,91,16,20,80,2,6,33.3,1,2,50,0,0.7,0.6,6,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
25,Sun,Away,W 3-2,Watford,Y,RW,90,3,3,0,0,0,0,0,2,2,0,0,0,0,0,37,50,74,458,96,27,29,93.1,9,16,56.3,0,1,0,1,0.1,0.1,2,2,3,0,6,2,2,0,2,0,1,3,33.3,2,2,0,2,2,4,0,0
26,Sun,Home,W 2-0,Leicester City,Y,RW,84,4,3,0,0,0,1,0,0,0,0,0,0,0,0,20,27,74.1,344,50,10,13,76.9,10,11,90.9,0,2,0,0,0.1,0.1,2,0,1,0,2,4,2,2,1,1,1,1,100,0,1,0,1,2,6,1,0
