Venue,Result,Opponent,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att1,Cmp%,PrgP,Carries,PrgC,Att2,Succ
Home,1,West Ham,88,0,0,0,0,2,0,0,0,61,0,0,0,0.1,0.1,0.1,3,2,34,46,73.9,4,32,3,3,2
Home,1,Sheffield Utd,86,1,0,0,0,2,1,0,0,45,2,0,1,0.4,0.4,0,0,0,29,35,82.9,3,33,1,3,2
Away,-1,Manchester City,90,0,0,0,0,2,2,0,0,54,2,0,1,0.5,0.5,0,7,0,32,41,78,2,30,5,5,4
Home,-1,Leicester City,64,0,0,0,0,4,2,0,0,41,1,0,0,0.2,0.2,0.1,3,0,20,31,64.5,1,23,0,1,0
Away,1,Manchester Utd,90,0,0,0,0,2,0,0,0,56,1,4,0,0.1,0.1,0,1,0,30,41,73.2,4,40,4,5,1
Home,-3,Aston Villa,90,0,0,0,0,0,0,0,0,43,1,0,2,0,0,0,2,0,26,36,72.2,6,33,4,0,0
Away,0,Leeds United,33,0,0,0,0,1,1,0,0,18,1,1,0,0.4,0.4,0.1,3,0,8,12,66.7,3,9,3,1,1
Home,-1,Wolves,90,0,0,0,0,1,0,0,0,56,0,1,1,0.4,0.4,0.3,3,0,29,45,64.4,6,33,3,3,2
Away,-2,Tottenham,90,0,0,0,0,2,0,0,0,57,0,0,0,0.1,0.1,0.1,2,0,32,45,71.1,4,36,2,4,2
Home,-1,Burnley,90,0,0,0,0,4,1,0,0,53,0,0,0,0.5,0.5,0.1,6,0,25,38,65.8,7,29,6,5,2
Home,0,Southampton,90,0,0,0,0,1,1,0,0,45,0,2,0,0,0,0,6,1,20,32,62.5,2,25,4,4,2
Away,-1,Everton,90,0,0,0,0,4,0,0,0,46,0,1,0,0.2,0.2,0,3,0,30,36,83.3,3,30,1,2,1
Home,2,Chelsea,90,1,0,0,0,2,1,0,0,40,1,1,2,0.1,0.1,0,6,1,21,32,65.6,4,19,3,2,2
Away,1,Brighton,80,0,1,0,0,2,0,0,0,49,2,0,1,0.2,0.2,0.6,5,1,25,36,69.4,3,26,3,3,2
Away,4,West Brom,70,1,0,0,0,4,2,0,0,48,1,1,2,0.9,0.9,0.1,2,0,21,34,61.8,3,22,3,1,1
Home,0,Crystal Palace,90,0,0,0,0,2,2,0,0,65,1,1,3,0.1,0.1,0.1,3,0,36,48,75,1,29,0,3,1
Home,3,Newcastle Utd,90,1,0,0,0,4,2,0,0,56,0,3,2,0.3,0.3,0.4,10,1,36,43,83.7,5,35,3,3,1
Away,2,Southampton,90,1,1,0,0,2,1,0,0,35,0,0,0,0.5,0.5,0.9,3,2,16,26,61.5,2,22,4,4,2
Away,-1,Wolves,90,0,0,0,0,3,1,0,0,44,2,2,1,0.5,0.5,0,0,0,21,31,67.7,1,21,1,1,1
Away,-1,Aston Villa,90,0,0,0,0,1,0,0,0,84,2,2,0,0.1,0.1,0.2,6,0,56,72,77.8,5,52,4,4,0
Home,2,Leeds United,90,0,0,0,0,1,0,0,0,43,1,0,0,0,0,0,4,1,24,31,77.4,1,23,3,7,3
Home,-1,Manchester City,90,0,0,0,0,3,0,0,0,46,1,0,0,0.2,0.2,0,2,0,29,36,80.6,6,30,4,3,3
Away,0,Burnley,90,0,0,0,0,4,0,1,0,51,2,2,1,0.8,0.8,0.3,6,0,31,36,86.1,5,30,3,1,1
Home,1,Tottenham,45,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.2,2,0,13,17,76.5,0,15,0,0,0
Away,0,West Ham,73,0,0,0,0,2,1,0,0,38,0,1,0,0.2,0.2,0,1,0,27,32,84.4,4,34,3,2,1
Away,3,Sheffield Utd,68,0,0,0,0,1,0,0,0,48,1,0,1,0.1,0.1,0.1,4,1,30,36,83.3,4,34,3,3,1
Home,0,Fulham,90,0,0,0,0,2,0,0,0,61,0,0,0,0,0,0.2,6,0,43,55,78.2,3,39,4,6,4
Home,-1,Everton,90,0,0,0,0,2,1,0,0,64,0,0,1,0.1,0.1,0.1,5,0,36,49,73.5,2,32,4,3,1
Home,2,West Brom,90,0,1,0,0,1,1,0,0,57,1,2,0,0.1,0.1,0.4,2,1,36,50,72,5,42,2,2,2
Away,1,Chelsea,65,0,0,0,0,0,0,0,0,28,1,1,2,0,0,0,0,0,12,18,66.7,0,17,1,0,0
Away,2,Crystal Palace,64,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,2,1,24,34,70.6,2,26,1,3,1
Home,2,Brighton,17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,7,85.7,0,4,0,0,0
Away,-2,Brentford,32,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,2,0,16,22,72.7,4,21,4,4,3
Home,-2,Chelsea,60,0,0,0,0,1,1,0,0,37,2,0,0,0,0,0,2,0,23,30,76.7,3,22,2,0,0
Away,-5,Manchester City,45,0,0,0,0,1,0,0,0,13,0,1,0,0.2,0.2,0,0,0,5,7,71.4,2,9,0,0,0
